METHOD	PATH	SOURCE
GET	/	src/routes/health.js:11
GET	/api/admin/ai-usage	src/routes/adminAuth.js:178
GET	/api/admin/alerts	src/adminPanel.js:2539
POST	/api/admin/alerts/:id/acknowledge	src/adminPanel.js:2565
GET	/api/admin/billing	src/adminPanel.js:2599
POST	/api/admin/change-password	src/adminPanel.js:2528
GET	/api/admin/churches	src/adminPanel.js:2385
POST	/api/admin/churches	src/adminPanel.js:2407
DELETE	/api/admin/churches/:id	src/adminPanel.js:2474
PUT	/api/admin/churches/:id	src/adminPanel.js:2432
POST	/api/admin/churches/:id/token	src/adminPanel.js:2460
GET	/api/admin/emails	src/adminPanel.js:2617
POST	/api/admin/emails/send	src/adminPanel.js:2668
GET	/api/admin/emails/stats	src/adminPanel.js:2637
GET	/api/admin/emails/templates	src/adminPanel.js:2642
DELETE	/api/admin/emails/templates/:type	src/adminPanel.js:2662
PUT	/api/admin/emails/templates/:type	src/adminPanel.js:2654
GET	/api/admin/emails/templates/:type/preview	src/adminPanel.js:2647
POST	/api/admin/login	src/routes/adminAuth.js:12
GET	/api/admin/me	src/routes/adminAuth.js:41
PUT	/api/admin/me/password	src/routes/adminAuth.js:47
GET	/api/admin/overview	src/adminPanel.js:2360
DELETE	/api/admin/resellers/:id	src/adminPanel.js:2520
PUT	/api/admin/resellers/:id	src/adminPanel.js:2485
POST	/api/admin/resellers/:id/password	src/adminPanel.js:2507
GET	/api/admin/reviews	src/churchPortal.js:5305
DELETE	/api/admin/reviews/:id	src/churchPortal.js:5340
PUT	/api/admin/reviews/:id/approve	src/churchPortal.js:5316
PUT	/api/admin/reviews/:id/feature	src/churchPortal.js:5328
GET	/api/admin/tickets	src/adminPanel.js:2579
GET	/api/admin/users	src/routes/adminAuth.js:69
POST	/api/admin/users	src/routes/adminAuth.js:77
DELETE	/api/admin/users/:userId	src/routes/adminAuth.js:155
PUT	/api/admin/users/:userId	src/routes/adminAuth.js:106
PUT	/api/admin/users/:userId/password	src/routes/adminAuth.js:138
POST	/api/alerts/:alertId/acknowledge	src/routes/sessions.js:47
GET	/api/billing	src/routes/billing.js:68
POST	/api/billing/checkout	src/routes/billing.js:12
POST	/api/billing/portal	src/routes/billing.js:37
GET	/api/billing/status/:churchId	src/routes/billing.js:62
POST	/api/billing/webhook	src/routes/billing.js:49
POST	/api/bot/set-webhook	src/routes/telegram.js:50
POST	/api/broadcast	src/routes/churchOps.js:52
POST	/api/chat	src/routes/sessions.js:70
POST	/api/chat/stream	server.js:3300
DELETE	/api/church/account	src/churchPortal.js:5136
GET	/api/church/alerts	src/churchPortal.js:5388
GET	/api/church/analytics	src/churchPortal.js:5407
POST	/api/church/app/login	src/routes/churchAuth.js:196
GET	/api/church/app/me	src/routes/churchAuth.js:226
PUT	/api/church/app/me	src/routes/churchAuth.js:291
DELETE	/api/church/app/oauth/facebook	src/routes/streamPlatforms.js:76
POST	/api/church/app/oauth/facebook/exchange	src/routes/streamPlatforms.js:52
GET	/api/church/app/oauth/facebook/pending	src/routes/streamPlatforms.js:21
POST	/api/church/app/oauth/facebook/refresh-key	src/routes/streamPlatforms.js:68
POST	/api/church/app/oauth/facebook/select-page	src/routes/streamPlatforms.js:60
GET	/api/church/app/oauth/status	src/routes/streamPlatforms.js:82
GET	/api/church/app/oauth/stream-keys	src/routes/streamPlatforms.js:87
DELETE	/api/church/app/oauth/youtube	src/routes/streamPlatforms.js:46
POST	/api/church/app/oauth/youtube/exchange	src/routes/streamPlatforms.js:30
POST	/api/church/app/oauth/youtube/refresh-key	src/routes/streamPlatforms.js:38
POST	/api/church/app/onboard	src/routes/churchAuth.js:19
POST	/api/church/app/reset-password	src/routes/churchAuth.js:347
GET	/api/church/billing	src/churchPortal.js:4812
POST	/api/church/billing/downgrade	src/churchPortal.js:4968
POST	/api/church/billing/reactivate	src/churchPortal.js:4946
POST	/api/church/billing/upgrade	src/churchPortal.js:4867
GET	/api/church/rooms	src/churchPortal.js
POST	/api/church/rooms	src/churchPortal.js
PATCH	/api/church/rooms/:roomId	src/churchPortal.js
DELETE	/api/church/rooms/:roomId	src/churchPortal.js
GET	/api/church/chat	src/routes/chat.js:38
POST	/api/church/chat	src/routes/chat.js:13
GET	/api/church/coaching	src/churchPortal.js:4675
GET	/api/church/data-export	src/churchPortal.js:5045
POST	/api/church/forgot-password	src/routes/emailVerification.js:83
GET	/api/church/guest-tokens	src/churchPortal.js:4788
POST	/api/church/guest-tokens	src/churchPortal.js:4793
DELETE	/api/church/guest-tokens/:tok	src/churchPortal.js:4806
POST	/api/church/login	src/churchPortal.js:4179
POST	/api/church/logout	src/churchPortal.js:4201
